key,publicationReady,abridged,headNote,endNote,textType,senderPlace,senderPlaceID,senderDate,senderDateFrom,senderDateTo,senderDateEarliest,senderDateLatest,senderDateEvidence,addressee,addresseeID,addresseeOrg,addresseePlace,addresseePlaceID,seeAlso,exclude,note
41,,,false,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/56,,
42,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/57,,
42a,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1379,,
42b,,,false,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1380,,
42c,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1381,,
43,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/58,,
43a,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/114,,
44,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/59,,
45,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/60,,
46,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/61,,
47,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/62,,
48,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/63,,
49,,,true,true,Draft,,,,,,,,,C. S. Lewis,https://viaf.org/viaf/22144877/,,,,https://www.tolkienguide.com/guide/letters/64,,
49a,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1383,,
49b,,,true,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1384,,
49c,,,true,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1385,,
49d,,,false,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1386,,
49e,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1387,,
50,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/65,,
51,,,true,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/85,,
51a,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1388,,
51b,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1389,,
52,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/86,,
53,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/87,,
53a,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1390,,
53b,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1391,,
54,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/88,,
55,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/89,,
55a,,,false,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1392,,
56,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/90,,
56a,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1393,,
57,,,false,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/91,,
58,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/92,,
59,,,false,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/93,,
59a,true,false,false,true,,Oxford,http://www.geonames.org/2640729,,1944-04-08,1944-04-11,,,,Christopher Tolkien,https://viaf.org/viaf/12315790/,,,,https://www.tolkienguide.com/guide/letters/1033,,
60,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/94,,
61,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/95,,
62,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/96,,
63,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/97,,
64,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/98,,
65,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/99,,
66,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/100,,
67,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/101,,
68,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/102,,
69,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/103,,
70,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/104,,
71,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/142,,
72,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/143,,
73,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/144,,
73a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1395,,
74,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/145,,
74a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1396,,
75,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/146,,
76,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/165,,
77,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/166,,
78,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/167,,
79,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/168,,
80,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/169,,
80a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1397,,
80b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1398,,
81,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/170,,
82,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/171,,
83,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/172,,
84,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/173,,
85,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/174,,
86,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/175,,
87,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/176,,
88,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/177,,
88a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1399,,
89,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/178,,
89a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1400,,
90,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/179,,
91,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/216,,
91a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1401,,
91b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1402,,
91c,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1403,,
92,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/217,,
93,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/218,,
94,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/219,,
94a,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1404,,
94b,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1405,,
94c,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1406,,
95,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/220,,
96,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/221,,
97,,,,,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/222,,
